uri,is_viral,repost_5m,repost_15m,repost_30m,repost_60m,repost_15_to_30m,repost_acceleration,repost_velocity_ratio,repost_burst_ratio,repost_growth_30_to_60m,like_5m,like_15m,like_30m,like_60m,like_15_to_30m,like_acceleration,like_velocity_ratio,like_burst_ratio,like_growth_30_to_60m,reply_5m,reply_15m,reply_30m,reply_60m,reply_15_to_30m,reply_acceleration,reply_velocity_ratio,reply_burst_ratio,reply_growth_30_to_60m,quote_5m,quote_15m,quote_30m,quote_60m,quote_15_to_30m,quote_acceleration,quote_velocity_ratio,quote_burst_ratio,quote_growth_30_to_60m,ttf_repost_sec,ttf_like_sec,ttf_reply_sec,ttf_quote_sec,text_len,has_embed,author_followers,author_followers_log,author_is_whale,total_engagement_30m,like_repost_ratio_30m,reply_repost_ratio_30m,quote_repost_ratio_30m
at://did:plc:247okjg2glpkhxejgezxp5gp/app.bsky.feed.post/3mjd7ymkmcs2s,1,12,19,33,33,14,-5,0.7,0.35294117647058826,0.9705882352941176,33,56,82,82,26,-30,0.45614035087719296,0.39759036144578314,0.9879518072289156,3,4,6,6,2,-2,0.4,0.42857142857142855,0.8571428571428571,0,2,2,2,0,-2,0.0,0.0,0.6666666666666666,8.289406,6.638596,196.874476,372.339097,153,1,0,0.0,0,123,2.411764705882353,0.17647058823529413,0.058823529411764705
at://did:plc:247okjg2glpkhxejgezxp5gp/app.bsky.feed.post/3mjdbl2tfvc2s,1,7,12,19,19,7,-5,0.5384615384615384,0.35,0.95,24,45,63,63,18,-27,0.391304347826087,0.375,0.984375,1,2,3,3,1,-1,0.3333333333333333,0.25,0.75,0,0,1,1,1,1,1.0,0.0,0.5,60.877088,22.509756,36.145281,941.425284,177,1,0,0.0,0,86,3.15,0.15,0.05
at://did:plc:24hnkyzkfnbnju7ux2m2rfip/app.bsky.feed.post/3mjcokfej3k2v,1,0,4,10,10,6,2,1.2,0.0,0.9090909090909091,1,8,32,32,24,16,2.6666666666666665,0.030303030303030304,0.9696969696969697,0,3,8,8,5,2,1.25,0.0,0.8888888888888888,0,0,0,0,0,0,0.0,0.0,0.0,684.393591,73.723132,449.648885,9999.0,286,0,0,0.0,0,50,2.909090909090909,0.7272727272727273,0.0
at://did:plc:25waj567vbwphpyqogvybo6n/app.bsky.feed.post/3mjcai6n3z32x,1,1,1,1,1,0,-1,0.0,0.5,0.5,4,10,15,15,5,-5,0.45454545454545453,0.25,0.9375,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,156.699327,138.293788,9999.0,9999.0,164,0,0,0.0,0,16,7.5,0.0,0.0
at://did:plc:25xawumvjmehxwq65liffsp7/app.bsky.feed.post/3mjdca5xyl22p,1,1,8,17,17,9,1,1.0,0.05555555555555555,0.9444444444444444,23,131,282,282,151,20,1.143939393939394,0.0812720848056537,0.9964664310954063,2,6,13,13,7,1,1.0,0.14285714285714285,0.9285714285714286,0,1,1,1,0,-1,0.0,0.0,0.5,102.66906,13.091256,91.633947,767.890675,210,0,0,0.0,0,313,15.666666666666666,0.7222222222222222,0.05555555555555555
at://did:plc:26bclrrpe2dsfot6h6ysz4t7/app.bsky.feed.post/3mjcjfzx2m224,1,0,1,7,7,6,5,3.0,0.0,0.875,2,6,25,25,19,13,2.7142857142857144,0.07692307692307693,0.9615384615384616,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,665.183126,109.414892,9999.0,9999.0,0,1,0,0.0,0,32,3.125,0.0,0.0
at://did:plc:26tsf647wqnoo7umh4ywwz7a/app.bsky.feed.post/3mjcehakmsk2z,1,8,34,61,61,27,-7,0.7714285714285715,0.12903225806451613,0.9838709677419355,51,162,297,297,135,-27,0.8282208588957055,0.17114093959731544,0.9966442953020134,2,4,9,9,5,1,1.0,0.2,0.9,1,7,8,8,1,-6,0.125,0.1111111111111111,0.8888888888888888,28.287191,14.230788,243.424301,279.98005,262,1,0,0.0,0,375,4.790322580645161,0.14516129032258066,0.12903225806451613
at://did:plc:26tsf647wqnoo7umh4ywwz7a/app.bsky.feed.post/3mjd37zbc3c2b,1,86,182,253,253,71,-111,0.3879781420765027,0.33858267716535434,0.9960629921259843,216,496,753,753,257,-239,0.5171026156941649,0.2864721485411141,0.9986737400530504,8,23,35,35,12,-11,0.5,0.2222222222222222,0.9722222222222222,20,44,63,63,19,-25,0.4222222222222222,0.3125,0.984375,12.131082,8.880928,107.611396,32.69921,296,1,0,0.0,0,1104,2.9645669291338583,0.1377952755905512,0.24803149606299213
at://did:plc:26tsf647wqnoo7umh4ywwz7a/app.bsky.feed.post/3mjd55xzex22w,1,42,94,195,195,101,7,1.063157894736842,0.21428571428571427,0.9948979591836735,109,309,692,692,383,74,1.235483870967742,0.15728715728715728,0.9985569985569985,8,19,37,37,18,-1,0.9,0.21052631578947367,0.9736842105263158,4,4,14,14,10,6,2.0,0.26666666666666666,0.9333333333333333,17.700196,12.621804,34.594138,25.255141,299,1,0,0.0,0,938,3.5306122448979593,0.18877551020408162,0.07142857142857142
at://did:plc:26tsf647wqnoo7umh4ywwz7a/app.bsky.feed.post/3mjda3age722a,1,16,51,77,77,26,-25,0.5,0.20512820512820512,0.9871794871794872,100,283,497,497,214,-69,0.7535211267605634,0.20080321285140562,0.9979919678714859,4,8,8,8,0,-8,0.0,0.4444444444444444,0.8888888888888888,1,3,4,4,1,-2,0.25,0.2,0.8,41.123823,8.482778,34.505952,149.333722,73,1,0,0.0,0,586,6.371794871794871,0.10256410256410256,0.05128205128205128
at://did:plc:26tsf647wqnoo7umh4ywwz7a/app.bsky.feed.post/3mjdbiiasg22u,1,25,96,195,195,99,3,1.0206185567010309,0.12755102040816327,0.9948979591836735,86,324,660,660,336,12,1.0338461538461539,0.13010590015128592,0.9984871406959153,3,7,16,16,9,2,1.125,0.17647058823529413,0.9411764705882353,1,9,21,21,12,3,1.2,0.045454545454545456,0.9545454545454546,9.536995,7.062957,20.476533,64.870827,169,1,0,0.0,0,892,3.36734693877551,0.08163265306122448,0.10714285714285714
